index,"movie","name","point"
0,"뺑반","hrle****","10"
1,"극한직업","mago****","10"
2,"극한직업","gks0****","8"
3,"달빛 속삭임","skeh****","8"
4,"소공녀","romy****","10"
5,"극한직업","hjoo****","10"
6,"인생 후르츠","chok****","10"
7,"드래곤 길들이기 3","ho12****","10"
8,"말모이","thgs****","10"
9,"설국열차","nada****","4"
10,"뺑반","jm02****","1"
11,"극한직업","dldb****","10"
12,"극한직업","alth****","10"
13,"뺑반","at83****","5"
14,"뺑반","stea****","1"
15,"트루먼 쇼","tjpa****","10"
16,"뺑반","jbch****","10"
17,"염력","sun1****","1"
18,"드래곤 길들이기 3","kera****","9"
19,"뺑반","anst****","10"
0,"주먹왕 랄프 2: 인터넷 속으로","ccs0****","8"
1,"피아니스트","kunh****","10"
2,"러브 유어셀프 인 서울","7863****","10"
3,"드래곤 길들이기 3","deff****","8"
4,"뺑반","bkn0****","2"
5,"극한직업","rlag****","5"
6,"극한직업","bara****","9"
7,"밀양","yeah****","10"
8,"뺑반","aaaa****","10"
9,"신비한 동물들과 그린델왈드의 범죄","ccs0****","9"
10,"극한직업","sozz****","1"
11,"뺑반","fore****","10"
12,"뺑반","hrle****","10"
13,"극한직업","mago****","10"
14,"극한직업","gks0****","8"
15,"달빛 속삭임","skeh****","8"
16,"소공녀","romy****","10"
17,"극한직업","hjoo****","10"
18,"인생 후르츠","chok****","10"
19,"드래곤 길들이기 3","ho12****","10"
0,"뺑반","ht59****","10"
1,"뺑반","lma7****","10"
2,"극한직업","heir****","10"
3,"내안의 그놈","hags****","10"
4,"뺑반","lgus****","10"
5,"바닷마을 다이어리","jmhr****","8"
6,"화차","choo****","10"
7,"뺑반","jeon****","10"
8,"피아니스트","hitm****","10"
9,"범블비","lina****","10"
10,"스윙키즈","bran****","8"
11,"뺑반","mare****","10"
12,"뺑반","cykf****","9"
13,"뺑반","hy39****","2"
14,"극한직업","soyo****","10"
15,"뺑반","wwe0****","8"
16,"드래곤 길들이기 3","rlaq****","10"
17,"피아니스트","kwon****","9"
18,"극한직업","ccs0****","9"
19,"내안의 그놈","qord****","10"
20,"뺑반","pyos****","10"
21,"피아니스트","lws2****","10"
22,"극장판 공룡메카드: 타이니소어의 섬","yooj****","7"
23,"주먹왕 랄프 2: 인터넷 속으로","ccs0****","8"
24,"피아니스트","kunh****","10"
25,"러브 유어셀프 인 서울","7863****","10"
26,"드래곤 길들이기 3","deff****","8"
27,"뺑반","bkn0****","2"
28,"극한직업","rlag****","5"
29,"극한직업","bara****","9"
30,"밀양","yeah****","10"
31,"뺑반","aaaa****","10"
32,"신비한 동물들과 그린델왈드의 범죄","ccs0****","9"
33,"극한직업","sozz****","1"
34,"뺑반","fore****","10"
35,"뺑반","hrle****","10"
36,"극한직업","mago****","10"
37,"극한직업","gks0****","8"
38,"달빛 속삭임","skeh****","8"
39,"소공녀","romy****","10"
40,"극한직업","hjoo****","10"
41,"인생 후르츠","chok****","10"
42,"드래곤 길들이기 3","ho12****","10"
43,"말모이","thgs****","10"
44,"설국열차","nada****","4"
45,"뺑반","jm02****","1"
46,"극한직업","dldb****","10"
47,"극한직업","alth****","10"
48,"뺑반","at83****","5"
49,"뺑반","stea****","1"
50,"트루먼 쇼","tjpa****","10"
51,"뺑반","jbch****","10"
52,"염력","sun1****","1"
53,"드래곤 길들이기 3","kera****","9"
54,"뺑반","anst****","10"
55,"드래곤 길들이기 3","rkdw****","10"
56,"뺑반","hapi****","10"
57,"드래곤 길들이기 3","rok_****","10"
58,"극한직업","chdo****","10"
59,"더 헌트","gio9****","10"
60,"극한직업","caro****","10"
61,"뺑반","kobu****","10"
62,"러브 유어셀프 인 서울","suki****","10"
63,"드래곤 길들이기 3","came****","10"
64,"뺑반","rain****","10"
65,"뺑반","ksjo****","10"
66,"피아니스트","miss****","10"
67,"극한직업","fftp****","8"
68,"극한직업","ange****","10"
69,"극한직업","piki****","10"
70,"너의 이름은.","kkim****","9"
71,"극한직업","flsh****","9"
72,"뺑반","gt27****","10"
73,"뺑반","cd13****","1"
74,"뺑반","kin5****","1"
75,"부도리의 꿈","xx41****","6"
76,"뺑반","pris****","10"
77,"뺑반","good****","6"
78,"주먹왕 랄프 2: 인터넷 속으로","ange****","10"
79,"뺑반","khs2****","6"
80,"극한직업","ecin****","9"
81,"극한직업","ansv****","9"
82,"가버나움","pjiw****","10"
83,"뺑반","wngm****","10"
84,"극한직업","jckn****","10"
85,"마약왕","ma67****","6"
86,"극한직업","egeg****","10"
87,"극한직업","cesp****","10"
88,"그린 북","pjiw****","10"
89,"뺑반","chye****","2"
90,"극한직업","assa****","10"
91,"내안의 그놈","tnek****","10"
92,"뺑반","kwwk****","8"
93,"B급 며느리","ekfl****","10"
94,"극한직업","cour****","4"
95,"뺑반","wjdw****","6"
96,"베놈","jack****","8"
97,"극한직업","youn****","8"
98,"내안의 그놈","hjch****","10"
99,"뺑반","ftch****","4"
100,"극한직업","skfn****","10"
101,"드래곤 길들이기 3","sher****","10"
102,"극한직업","hiki****","6"
103,"내안의 그놈","seul****","2"
104,"극한직업","star****","7"
105,"러브 유어셀프 인 서울","iam0****","10"
106,"극한직업","eric****","10"
107,"뺑반","tean****","10"
108,"보헤미안 랩소디","hoon****","8"
109,"극한직업","the7****","10"
110,"극한직업","seun****","10"
111,"극한직업","dlsg****","10"
112,"뺑반","most****","10"
113,"극한직업","ab09****","10"
114,"뺑반","neod****","10"
115,"극한직업","song****","6"
116,"내안의 그놈","is66****","10"
117,"일일시호일","jks0****","10"
118,"극한직업","wowh****","7"
119,"뺑반","jenn****","10"
120,"극한직업","dbdp****","8"
121,"미확인 동영상 : 절대클릭금지","ll06****","2"
122,"소공녀","mjn0****","7"
123,"뺑반","roir****","8"
124,"극한직업","clzl****","5"
125,"고령화 가족","adsl****","10"
126,"극한직업","dmsd****","10"
127,"성난황소","oja0****","10"
128,"뺑반","seun****","5"
129,"가버나움","pair****","8"
130,"뺑반","jigo****","10"
131,"극한직업","sydm****","9"
132,"뺑반","merd****","1"
133,"아쿠아맨","remo****","10"
134,"뺑반","hann****","10"
135,"그린치","remo****","2"
136,"극한직업","ja56****","9"
137,"모털 엔진","zy52****","10"
138,"뺑반","jee0****","10"
139,"극한직업","s729****","10"
140,"뺑반","yesb****","10"
141,"내안의 그놈","howl****","2"
142,"드래곤 길들이기 3","remo****","10"
143,"신과함께-인과 연","ehse****","10"
144,"더 넌","ehse****","5"
145,"뺑반","best****","10"
146,"극한직업","ljue****","10"
147,"극한직업","kkis****","10"
148,"극한직업","ehse****","10"
149,"극한직업","sho7****","10"
150,"뺑반","qqkd****","1"
151,"아쿠아맨","nice****","10"
152,"해리 포터와 불사조 기사단","wodu****","6"
153,"뺑반","ssam****","6"
154,"뺑반","miss****","10"
155,"뺑반","thgu****","10"
156,"PMC: 더 벙커","ghkd****","1"
157,"내안의 그놈","mng9****","2"
158,"극한직업","0029****","4"
159,"극한직업","upse****","8"
160,"극한직업","kny2****","10"
161,"극한직업","sbsp****","9"
162,"내안의 그놈","sims****","9"
163,"뺑반","your****","10"
164,"극한직업","7257****","10"
165,"인생 후르츠","sorr****","9"
166,"뺑반","sara****","1"
167,"극한직업","sso0****","10"
168,"내안의 그놈","qkrr****","10"
169,"파수꾼","sayv****","1"
170,"뺑반","kong****","2"
171,"뺑반","msw1****","10"
172,"극한직업","az31****","10"
173,"극한직업","oori****","10"
174,"뺑반","suni****","10"
175,"드래곤 길들이기 3","ehdd****","9"
176,"뺑반","shil****","8"
177,"극한직업","jhkc****","10"
178,"극한직업","qazq****","10"
179,"극한직업","ss68****","2"
180,"리틀 도쿄","mrq1****","10"
181,"베일리 어게인","youn****","10"
182,"뺑반","wjd_****","10"
183,"뺑반","rowl****","10"
184,"뺑반","enld****","9"
185,"드래곤 길들이기 3","dope****","10"
186,"미래의 미라이","rozy****","2"
187,"극한직업","kook****","8"
188,"드래곤 길들이기 3","et-5****","10"
189,"말모이","abcj****","8"
190,"뺑반","silg****","10"
191,"극한직업","wlsk****","8"
192,"보헤미안 랩소디","huck****","4"
193,"뺑반","swor****","8"
194,"뺑반","swor****","8"
195,"내안의 그놈","kkk8****","1"
196,"뺑반","elgu****","10"
197,"드래곤 길들이기 3","cas7****","10"
198,"뺑반","jtg1****","10"
199,"아쿠아맨","skyw****","9"
0,"뺑반","kang****","2"
1,"피아니스트","kpu5****","10"
2,"너의 결혼식","tjdd****","8"
3,"시네마 천국","sara****","10"
4,"친절한 금자씨","kkh8****","10"
5,"그린 북","iwil****","10"
6,"성난황소","tjdd****","6"
7,"극한직업","jote****","10"
8,"극한직업","bae0****","10"
9,"뺑반","enes****","1"
10,"뺑반","syb7****","10"
11,"극한직업","kako****","1"
12,"가버나움","unif****","10"
13,"극한직업","asd9****","10"
14,"드래곤 길들이기 3","emma****","8"
15,"뺑반","koni****","1"
16,"뺑반","kje4****","10"
17,"가버나움","gree****","10"
18,"극한직업","5835****","10"
19,"극한직업","mous****","10"
20,"극한직업","hyuk****","10"
21,"언니","leek****","7"
22,"극한직업","jhj8****","10"
