,movie,name,point
0,공작,jede****,1
1,선생 김봉두,jjan****,10
2,보헤미안 랩소디,c00e****,10
3,헌터 킬러,jkje****,10
4,아쿠아맨,cyju****,10
5,언더독,0908****,10
6,말모이,elli****,10
7,극장판 공룡메카드: 타이니소어의 섬,somi****,10
8,극장판 공룡메카드: 타이니소어의 섬,schw****,10
9,언더독,salk****,10
10,말모이,jhee****,10
11,보헤미안 랩소디,susu****,10
12,글래스,dhgm****,9
13,스윙키즈,4744****,10
14,말모이,alsw****,10
15,말모이,djco****,10
16,언브레이커블,yokk****,10
17,극장판 공룡메카드: 타이니소어의 섬,munj****,10
18,달빛궁궐,ty31****,1
19,로마,slas****,10
20,글래스,jjhi****,9
21,마약왕,roko****,5
22,나를 찾아줘,tnql****,8
23,스윙키즈,pret****,1
24,글래스,tjdd****,1
25,헌터 킬러,ksh9****,10
26,미래의 미라이,ojid****,10
27,인생 후르츠,ehee****,10
28,글래스,dean****,1
29,내안의 그놈,lpr3****,10
30,쿠르스크,semi****,9
31,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,euna****,10
32,주먹왕 랄프 2: 인터넷 속으로,onio****,10
33,나를 차버린 스파이,rami****,8
34,미래의 미라이,gogo****,8
35,글래스,your****,10
36,내안의 그놈,dksk****,10
37,언더독,hoom****,10
38,시간을 달리는 소녀,wnsd****,10
39,말모이,opp4****,10
40,어바웃 슈미트,nikh****,10
41,글래스,sm01****,2
42,스파이더맨: 뉴 유니버스,vani****,7
43,말모이,gjsd****,5
44,마약왕,qkrw****,8
45,말모이,chin****,10
46,글래스,nike****,2
47,언니,qecq****,2
48,주먹왕 랄프 2: 인터넷 속으로,roco****,10
49,내안의 그놈,bs60****,10
50,완벽한 타인,soug****,8
51,인생 후르츠,joha****,10
52,언니,0937****,10
53,말모이,ysh0****,10
54,말모이,alsd****,10
55,극장판 공룡메카드: 타이니소어의 섬,9728****,8
56,언더독,lind****,10
57,내안의 그놈,ahdk****,6
58,세컨핸드 라이온스,zeus****,10
59,글래스,diqu****,10
60,극장판 공룡메카드: 타이니소어의 섬,rfx8****,8
61,범블비,soks****,9
62,노킹 온 헤븐스 도어,cnsg****,9
63,스파이더맨: 뉴 유니버스,qhrd****,10
64,극장판 공룡메카드: 타이니소어의 섬,choc****,10
65,성난황소,oee5****,10
66,아쿠아맨,okc0****,7
67,말모이,qhad****,10
68,말모이,rlaq****,10
69,내안의 그놈,tkk0****,8
70,국가부도의 날,kara****,7
71,허비 - 첫 시동을 걸다,hsh6****,10
72,용의자,bepo****,5
73,극장판 공룡메카드: 타이니소어의 섬,chea****,10
74,내안의 그놈,pkhk****,10
75,말모이,sji1****,10
76,극장판 공룡메카드: 타이니소어의 섬,dhdi****,10
77,스윙키즈,tpal****,2
78,내 머리 속의 지우개,demb****,10
79,보헤미안 랩소디,h112****,10
80,범블비,hsh6****,9
81,미래의 미라이,tugg****,10
82,내안의 그놈,hong****,10
83,글래스,duac****,10
84,주먹왕 랄프 2: 인터넷 속으로,ckrg****,8
85,내안의 그놈,haju****,10
86,언더독,tomi****,10
87,말모이,yumi****,10
88,말모이,ljm0****,10
89,글래스,khy0****,9
90,"나는 내일, 어제의 너와 만난다",ww_w****,9
91,언니,sang****,1
92,미래의 미라이,read****,8
93,스윙키즈,seos****,7
94,범블비,alex****,10
95,아쿠아맨,sems****,8
96,글래스,jijp****,10
97,글래스,j24d****,10
98,극장판 공룡메카드: 타이니소어의 섬,phan****,10
99,글래스,fgdg****,9
100,라이프,swee****,8
101,글래스,gdp3****,10
102,글래스,z4gw****,9
103,글래스,xisa****,10
104,글래스,yjun****,10
105,국가부도의 날,jdw1****,8
106,러브 오브 시베리아,keit****,10
107,그린 북,esah****,10
108,보헤미안 랩소디,lkmi****,10
109,구스 베이비,koko****,6
110,지구가 멈추는 날,momo****,6
111,세상의 끝까지 21일,book****,10
112,번 더 스테이지: 더 무비,sils****,10
113,범블비,mari****,10
114,극장판 공룡메카드: 타이니소어의 섬,kim_****,10
115,주먹왕 랄프 2: 인터넷 속으로,0617****,10
116,구스 베이비,0213****,10
117,말모이,koth****,9
118,말모이,sorb****,9
119,말모이,seoc****,10
120,말모이,ksuw****,10
121,말모이,toet****,2
122,지구가 멈추는 날,keit****,10
123,구스 베이비,0617****,8
124,점박이 한반도의 공룡2 : 새로운 낙원,jedi****,10
125,나를 차버린 스파이,jojo****,10
126,아무도 머물지 않았다,claz****,8
127,간신,dbse****,1
128,아쿠아맨,bk19****,9
129,극장판 공룡메카드: 타이니소어의 섬,blue****,6
130,이별의 아침에 약속의 꽃을 장식하자,lost****,10
131,지구가 멈추는 날,duqo****,1
132,스윙키즈,best****,10
133,PMC: 더 벙커,vaih****,1
134,말모이,seve****,10
135,엑스맨: 아포칼립스,jhjh****,10
136,범블비,tkad****,8
137,극장판 공룡메카드: 타이니소어의 섬,byun****,10
138,미션 이스탄불3: 더 리벤지,deff****,2
139,블랙 스완,claz****,8
140,내안의 그놈,flam****,1
141,다이버전트 시리즈: 얼리전트,qhrt****,8
142,말모이,stys****,2
143,가디언즈 오브 갤럭시 VOL. 2,claz****,5
144,쥬만지: 새로운 세계,keit****,10
145,말모이,new_****,7
146,흥부: 글로 세상을 바꾼 자,voxo****,1
147,말모이,hand****,10
148,콜 미 바이 유어 네임,goon****,10
149,지구가 멈추는 날,hyna****,5
150,베일리 어게인,sera****,10
151,왕이 될 아이,elsa****,10
152,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,dona****,10
153,내안의 그놈,jmh5****,8
154,언더독,mjki****,10
155,극장판 공룡메카드: 타이니소어의 섬,nost****,10
156,말모이,skst****,10
157,글래스,phys****,10
158,그린 북,ahep****,10
159,시카리오: 데이 오브 솔다도,worl****,10
160,말모이,jamb****,10
161,미래의 미라이,lala****,8
162,마약왕,maru****,6
163,글래스,nini****,1
164,언니,cyb0****,1
165,말모이,mkhe****,10
166,아바타,want****,4
167,스윙키즈,pbyi****,10
168,스윙키즈,sunw****,6
169,하치 이야기,dudm****,10
170,구스 베이비,youc****,8
171,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,dhkw****,10
172,레지던트 이블: 파멸의 날,be_y****,10
173,아쿠아맨,rjsw****,1
174,글래스,jihe****,10
175,미래의 미라이,tjdu****,9
176,말모이,bbc1****,8
177,범블비,jwbj****,8
178,말모이,jdju****,6
179,말모이,asmr****,10
180,로건 럭키,heka****,5
181,극장판 공룡메카드: 타이니소어의 섬,urba****,10
182,디파이언스,heka****,8
183,걷기왕,nano****,10
184,말모이,godl****,10
185,글래스,jwbj****,8
186,점박이 한반도의 공룡2 : 새로운 낙원,shli****,9
187,미래의 미라이,bizk****,8
188,흥부: 글로 세상을 바꾼 자,hibi****,2
189,말모이,pil1****,10
190,말모이,mytr****,10
191,글래스,cala****,6
192,일일시호일,tjtj****,9
193,신사는 금발을 좋아한다,clie****,8
194,보헤미안 랩소디,jey_****,10
195,글래스,tnen****,10
196,범블비,inst****,9
197,스파이더맨: 뉴 유니버스,nusi****,10
198,내안의 그놈,andy****,10
199,말모이,andy****,6
200,언더독,grac****,10
201,창궐,fama****,2
202,글래스,bfqd****,10
203,글래스,oklq****,10
204,글래스,a5jf****,10
205,글래스,wnal****,5
206,말모이,nish****,10
207,글래스,vhmd****,10
208,글래스,xnvx****,9
209,글래스,e0rs****,10
210,글래스,iiqb****,10
211,글래스,cjeq****,10
212,글래스,z2gs****,10
213,극장판 공룡메카드: 타이니소어의 섬,junj****,8
214,글래스,ldht****,10
215,보헤미안 랩소디,mhj0****,10
216,포레스트 검프,cyn2****,10
217,판도라,jem0****,2
218,롤플레이,swee****,1
219,달콤한 인생,capg****,10
220,말모이,yih0****,2
221,스윙키즈,know****,1
222,극장판 공룡메카드: 타이니소어의 섬,hyw0****,8
223,아저씨,rlaa****,10
224,지구가 멈추는 날,rjqn****,2
225,내안의 그놈,geri****,6
226,말모이,mysw****,10
227,온리 더 브레이브,ssyy****,10
228,타이타닉 2,shmb****,1
229,말모이,jenn****,6
230,옥자,mysw****,10
231,극장판 공룡메카드: 타이니소어의 섬,jdgs****,10
232,언더독,hear****,10
233,극장판 공룡메카드: 타이니소어의 섬,jaer****,10
234,라이언 일병 구하기,glts****,9
235,말모이,een2****,10
236,아쿠아맨,dman****,9
237,스윙키즈,yoon****,1
238,내안의 그놈,hanb****,1
239,말모이,naru****,6
240,국가부도의 날,spir****,10
241,극장판 공룡메카드: 타이니소어의 섬,skys****,8
242,말모이,gaer****,8
243,아프리칸 닥터,koko****,10
244,인생 후르츠,lma5****,10
245,말모이,ka12****,10
246,아일라,capg****,10
247,쥬라기 월드: 폴른 킹덤,dmlw****,9
248,극장판 공룡메카드: 타이니소어의 섬,pik0****,10
249,극장판 공룡메카드: 타이니소어의 섬,gun3****,10
250,레릭,glts****,4
251,쿠르스크,fefe****,10
252,말모이,3924****,10
253,성난황소,ffar****,1
254,말모이,mkin****,10
255,흥부: 글로 세상을 바꾼 자,bora****,1
256,마지막 황제,feli****,1
257,흥부: 글로 세상을 바꾼 자,mind****,1
258,김씨 표류기,legr****,10
259,말모이,qtl7****,10
260,언니,glts****,3
261,글래스,alzl****,6
262,글래스,fftp****,7
263,베오울프,dudg****,10
264,아쿠아맨,dead****,2
265,낭만자객,rlat****,1
266,마약왕,yms9****,5
267,스윙키즈,wls1****,4
268,보헤미안 랩소디,qasw****,10
269,내안의 그놈,lsh0****,9
270,말모이,ghwn****,10
271,아내가 결혼했다,tjwk****,10
272,말모이,pher****,4
273,말모이,mey0****,10
274,해어화,choi****,10
275,도어락,yms9****,7
276,범블비,jape****,9
277,극장판 공룡메카드: 타이니소어의 섬,tvpl****,2
278,말모이,mjun****,10
279,범블비,kgb0****,10
280,국가부도의 날,yms9****,6
281,범블비,ta53****,9
282,쇼생크 탈출,cjhp****,10
283,말모이,20s5****,10
284,극장판 공룡메카드: 타이니소어의 섬,fyt2****,9
285,오리엔트 특급 살인,litt****,10
286,극장판 공룡메카드: 타이니소어의 섬,happ****,2
287,내안의 그놈,wrpe****,10
288,언더독,isdd****,6
289,내안의 그놈,hors****,10
290,인셉션,pdy4****,10
291,주먹왕 랄프 2: 인터넷 속으로,kod1****,9
292,네이든,lee_****,10
293,글래스,easy****,2
294,나는 행복합니다,shia****,1
295,그린 북,pmh2****,10
296,범블비,holy****,10
297,언니,minu****,5
298,글래스,gg48****,10
299,마녀,chgr****,10
300,범블비,5486****,10
301,내안의 그놈,pink****,6
302,극장판 공룡메카드: 타이니소어의 섬,poon****,8
303,주먹왕 랄프 2: 인터넷 속으로,didz****,1
304,미래의 미라이,mega****,10
305,질주,bizk****,10
306,글래스,kywh****,4
307,말모이,bogl****,9
308,보헤미안 랩소디,hyom****,10
309,조작된 도시,alqu****,9
310,범블비,xogu****,1
311,말모이,lgia****,10
312,판도라,wowl****,2
313,말모이,kiil****,10
314,내안의 그놈,yms0****,1
315,언더독,bpph****,10
316,내안의 그놈,cyj7****,10
317,범블비,maru****,6
318,아쿠아맨,lsb1****,10
319,말모이,quie****,10
320,말모이,good****,8
321,극장판 공룡메카드: 타이니소어의 섬,rkdd****,10
322,에이 아이,moow****,6
323,언더독,ddoj****,10
324,인생 후르츠,youa****,10
325,언니,capg****,7
326,그대 이름은 장미,kimh****,10
327,토이 스토리 3,wing****,9
328,글래스,suba****,10
329,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,dmst****,10
330,스파이더맨: 뉴 유니버스,brix****,10
331,구스 베이비,mjin****,10
332,내안의 그놈,kjkw****,10
333,범블비,dndr****,1
334,극장판 공룡메카드: 타이니소어의 섬,dlat****,10
335,말모이,soom****,1
336,쿠르스크,bili****,9
337,말모이,mink****,2
338,언니,roma****,10
339,범블비,jeom****,10
340,말모이,leeg****,10
341,극장판 공룡메카드: 타이니소어의 섬,love****,10
342,극장판 공룡메카드: 타이니소어의 섬,ask6****,10
343,인생 후르츠,wjsd****,10
344,글래스,doro****,10
345,5백만불의 사나이,sukh****,10
346,내안의 그놈,kory****,10
347,그대 이름은 장미,kobe****,10
348,주먹왕 랄프 2: 인터넷 속으로,nopa****,9
349,주먹왕 랄프 2: 인터넷 속으로,angi****,10
350,말모이,jinj****,9
351,글래스,gauk****,10
352,말모이,wltj****,8
353,내안의 그놈,name****,2
354,스파이더맨: 뉴 유니버스,sury****,10
355,타임 패러독스,sain****,3
356,왕이 될 아이,hell****,10
357,범블비,lkhz****,8
358,말모이,chlg****,10
359,미래의 미라이,rem4****,1
360,극장판 공룡메카드: 타이니소어의 섬,syeo****,10
361,내안의 그놈,dudd****,10
362,극장판 공룡메카드: 타이니소어의 섬,guap****,10
363,글래스,seit****,10
364,스윙키즈,miss****,10
365,인터스텔라,ekah****,10
366,내안의 그놈,9004****,10
367,언더독,hiya****,10
368,지구가 멈추는 날,seun****,8
369,"불량소녀, 너를 응원해!",dmsw****,9
370,일일시호일,hatt****,10
371,마녀,tyro****,1
372,말모이,pysj****,10
373,말모이,sn11****,8
374,보헤미안 랩소디,blue****,10
375,국가부도의 날,blue****,10
376,마약왕,blue****,6
377,말모이,rlat****,10
378,극장판 공룡메카드: 타이니소어의 섬,jm86****,10
379,언더독,joan****,10
380,로그 원: 스타워즈 스토리,dibo****,1
381,판도라,stan****,1
382,극장판 공룡메카드: 타이니소어의 섬,inyo****,10
383,스윙키즈,blue****,10
384,그대 이름은 장미,dbst****,1
385,범블비,madb****,5
386,말모이,gape****,1
387,말모이,ydyy****,10
388,흥부: 글로 세상을 바꾼 자,ihep****,4
389,말모이,siee****,10
390,극장판 공룡메카드: 타이니소어의 섬,gucc****,10
391,타임크라임,sain****,4
392,내안의 그놈,drar****,10
393,말모이,vse9****,1
394,스타워즈: 라스트 제다이,dibo****,1
395,왕이 될 아이,jaad****,6
396,내안의 그놈,j890****,10
397,글래스,joju****,8
398,번 더 스테이지: 더 무비,kaka****,10
399,그린 북,adam****,10
400,언더독,hwal****,10
401,서프러제트,hifr****,10
402,신과함께-인과 연,dohe****,10
403,말모이,lys3****,10
404,헌터 킬러,matc****,1
405,글래스,shp0****,8
406,내안의 그놈,naru****,3
407,일일시호일,ujin****,10
408,프로포즈 데이,euno****,10
409,내안의 그놈,taro****,8
410,범블비,bbq2****,7
411,일일시호일,tbvj****,10
412,아바타,dibo****,1
413,미래의 미라이,shc9****,10
414,썸머 워즈,xixn****,10
415,주먹왕 랄프 2: 인터넷 속으로,sam0****,10
416,말모이,gwon****,10
417,미래의 미라이,viva****,5
418,글래스,okku****,10
419,글래스,uaxp****,10
420,인생 후르츠,suhs****,10
421,일일시호일,dddo****,10
422,글래스,fyrv****,9
423,언니,flys****,8
424,황해,miye****,3
425,글래스,tybw****,10
426,글래스,lf1t****,10
427,글래스,t1w5****,10
428,말모이,hks4****,10
429,녹터널 애니멀스,rose****,7
430,글래스,eroh****,10
431,보헤미안 랩소디,maru****,10
432,글래스,dsx0****,10
433,글래스,b7df****,10
434,글래스,dzl1****,10
435,주먹왕 랄프 2: 인터넷 속으로,sumi****,10
436,아쿠아맨,hyej****,10
437,글래스,acj1****,1
438,그린 북,love****,10
439,루시,dltl****,10
440,일일시호일,nana****,10
441,구스 베이비,shj5****,10
442,언브레이커블,jjan****,10
443,판도라,lpm0****,4
444,허트 로커,happ****,10
445,말모이,kyun****,10
446,아쿠아맨,vict****,2
447,상류사회,fait****,6
448,말모이,1121****,6
449,보헤미안 랩소디,hksk****,6
450,보헤미안 랩소디,nwo1****,1
451,말모이,bijo****,10
452,더 프레데터,sykm****,1
453,아쿠아맨,pjo1****,9
454,글래스,ssh1****,9
455,글래스,mans****,4
456,언더독,7022****,9
457,언니,fifa****,2
458,왕이 될 아이,feel****,10
459,언더독,whan****,10
460,인크레더블 2,bang****,9
461,내안의 그놈,woaq****,10
462,아쿠아맨,bang****,9
463,내안의 그놈,leem****,10
464,극장판 공룡메카드: 타이니소어의 섬,sunn****,10
465,헌터 킬러,ho30****,8
466,스타 이즈 본,kcaw****,10
467,너의 결혼식,0818****,10
468,극장판 공룡메카드: 타이니소어의 섬,tjda****,8
469,말모이,thfl****,10
470,언더독,yunh****,10
471,내안의 그놈,jysy****,10
472,말모이,soso****,9
473,언더독,luvm****,10
474,그린 북,ceun****,4
475,말모이,qlsk****,10
476,인디아나 존스 - 최후의 성전,zene****,10
477,헌터 킬러,flsh****,10
478,내안의 그놈,qkrt****,10
479,글래스,suu9****,4
480,내안의 그놈,jdai****,10
481,미래의 미라이,quf1****,10
482,말모이,neve****,10
483,보헤미안 랩소디,gomg****,10
484,글래스,luck****,10
485,말모이,babi****,10
486,플랜맨,aghg****,10
487,극장판 공룡메카드: 타이니소어의 섬,qhrd****,10
488,친절한 금자씨,kell****,10
489,주먹왕 랄프 2: 인터넷 속으로,cade****,8
490,글래스,koko****,10
491,글래스,k1on****,10
492,바람 바람 바람,dell****,10
493,글래스,y206****,10
494,글래스,w4gs****,10
